iter	Passed	Remaining
0	119	119420
1	123	61484
2	126	42143
3	131	32708
4	134	26857
5	141	23437
6	146	20748
7	150	18645
8	154	17012
9	158	15695
10	164	14763
11	169	13972
12	173	13163
13	177	12502
14	181	11920
15	186	11461
16	190	10988
17	194	10599
18	199	10326
19	204	10041
20	209	9748
21	213	9495
22	219	9320
23	226	9192
24	230	8993
25	235	8805
26	241	8688
27	245	8511
28	250	8379
29	256	8284
30	260	8153
31	264	8012
32	269	7889
33	273	7781
34	278	7679
35	282	7573
36	286	7469
37	291	7369
38	295	7290
39	300	7206
40	304	7115
41	309	7048
42	314	6990
43	318	6910
44	322	6842
45	327	6801
46	333	6766
47	338	6706
48	343	6660
49	347	6600
50	352	6559
51	357	6509
52	364	6513
53	371	6500
54	376	6472
55	385	6496
56	399	6616
57	413	6718
58	426	6802
59	439	6887
60	451	6955
61	459	6952
62	467	6959
63	478	6998
64	488	7031
65	502	7107
66	521	7267
67	535	7335
68	544	7349
69	554	7372
70	562	7360
71	569	7344
72	581	7384
73	590	7387
74	602	7428
75	611	7439
76	619	7429
77	629	7435
78	652	7608
79	688	7920
80	731	8297
81	772	8649
82	783	8651
83	793	8649
84	803	8650
85	843	8959
86	867	9100
87	875	9068
88	885	9062
89	895	9057
90	912	9117
91	922	9102
92	931	9081
93	941	9074
94	951	9062
95	960	9045
96	972	9053
97	981	9032
98	993	9045
99	1007	9069
100	1017	9057
101	1028	9052
102	1039	9054
103	1050	9048
104	1062	9060
105	1073	9057
106	1084	9051
107	1099	9079
108	1114	9112
109	1126	9115
110	1137	9110
111	1144	9071
112	1154	9061
113	1162	9033
114	1167	8988
115	1177	8973
116	1186	8951
117	1197	8952
118	1207	8939
119	1214	8904
120	1223	8889
121	1231	8860
122	1246	8887
123	1260	8904
124	1272	8905
125	1282	8899
126	1297	8919
127	1311	8934
128	1325	8950
129	1342	8981
130	1353	8975
131	1368	8996
132	1378	8985
133	1392	9001
134	1406	9014
135	1416	8996
136	1428	9000
137	1438	8984
138	1465	9078
139	1475	9062
140	1497	9125
141	1508	9116
142	1521	9116
143	1536	9131
144	1550	9143
145	1567	9170
146	1582	9180
147	1592	9169
148	1608	9185
149	1623	9202
150	1639	9215
151	1651	9213
152	1666	9227
153	1679	9225
154	1695	9240
155	1709	9247
156	1724	9257
157	1732	9230
158	1741	9210
159	1760	9241
160	1768	9214
161	1776	9190
162	1788	9183
163	1801	9183
164	1814	9183
165	1828	9184
166	1859	9273
167	1872	9273
168	1885	9271
169	1897	9262
170	1912	9271
171	1922	9254
172	1931	9234
173	1942	9223
174	1955	9217
175	1963	9191
176	1973	9177
177	1984	9163
178	1994	9149
179	2003	9127
180	2013	9111
181	2022	9089
182	2032	9072
183	2047	9079
184	2057	9065
185	2070	9061
186	2079	9038
187	2084	9001
188	2093	8982
189	2101	8957
190	2113	8951
191	2124	8941
192	2135	8928
193	2143	8905
194	2154	8893
195	2164	8876
196	2174	8863
197	2184	8847
198	2191	8822
199	2202	8811
200	2215	8807
201	2224	8788
202	2238	8787
203	2247	8770
204	2258	8758
205	2270	8750
206	2279	8730
207	2289	8719
208	2298	8697
209	2313	8703
210	2322	8683
211	2332	8669
212	2347	8675
213	2354	8647
214	2363	8630
215	2375	8622
216	2387	8613
217	2397	8601
218	2407	8584
219	2422	8588
220	2434	8583
221	2447	8576
222	2453	8549
223	2464	8537
224	2472	8517
225	2485	8513
226	2494	8496
227	2501	8471
228	2511	8456
229	2524	8451
230	2534	8436
231	2564	8487
232	2599	8557
233	2625	8593
234	2663	8670
235	2696	8730
236	2705	8708
237	2711	8682
238	2737	8715
239	2749	8705
240	2763	8704
241	2776	8696
242	2790	8694
243	2800	8677
244	2812	8666
245	2821	8648
246	2831	8633
247	2845	8628
248	2858	8621
249	2871	8615
250	2885	8611
251	2897	8599
252	2908	8586
253	2919	8575
254	2939	8588
255	2954	8585
256	2961	8562
257	2970	8543
258	2983	8536
259	3004	8551
260	3024	8564
261	3037	8555
262	3045	8535
263	3053	8512
264	3073	8525
265	3098	8548
266	3105	8526
267	3117	8514
268	3124	8491
269	3137	8482
270	3158	8495
271	3171	8487
272	3180	8470
273	3196	8468
274	3206	8453
275	3215	8434
276	3227	8425
277	3243	8422
278	3253	8408
279	3262	8390
280	3277	8385
281	3283	8360
282	3292	8341
283	3306	8335
284	3316	8320
285	3331	8317
286	3344	8309
287	3358	8303
288	3368	8286
289	3386	8291
290	3399	8281
291	3416	8284
292	3430	8278
293	3441	8264
294	3449	8242
295	3458	8225
296	3468	8209
297	3476	8190
298	3489	8180
299	3497	8161
300	3506	8143
301	3517	8129
302	3525	8109
303	3535	8095
304	3545	8079
305	3554	8061
306	3561	8039
307	3571	8024
308	3580	8006
309	3589	7990
310	3602	7980
311	3609	7958
312	3617	7939
313	3627	7924
314	3635	7905
315	3644	7889
316	3652	7869
317	3662	7854
318	3669	7833
319	3679	7818
320	3688	7802
321	3697	7785
322	3705	7765
323	3713	7747
324	3723	7733
325	3731	7715
326	3741	7699
327	3753	7691
328	3765	7678
329	3788	7691
330	3797	7675
331	3807	7661
332	3820	7651
333	3832	7641
334	3848	7639
335	3860	7629
336	3875	7625
337	3891	7621
338	3906	7617
339	3918	7606
340	3932	7600
341	3950	7600
342	3966	7597
343	3982	7594
344	3997	7588
345	4011	7581
346	4027	7578
347	4044	7578
348	4059	7572
349	4073	7564
350	4086	7556
351	4102	7551
352	4114	7540
353	4127	7531
354	4135	7514
355	4148	7503
356	4160	7493
357	4173	7483
358	4183	7470
359	4200	7466
360	4227	7482
361	4237	7467
362	4253	7464
363	4270	7462
364	4285	7455
365	4297	7444
366	4316	7445
367	4324	7427
368	4344	7428
369	4365	7433
370	4374	7416
371	4396	7421
